Ecosystem,Package Name,URL,Latest Version,Latest Version Updated,Source,Excluded,Criticality Score,Analysis Date,Results
bower,jquery,,,,Harvard Census II,No,,,
bower,punycode,,,,Harvard Census II,,,,
bower,resolve-url,,,,Harvard Census II,,,,
cargo,clippy,,,,Harvard Census II,,,,
cargo,compiletest_rs,,,,Harvard Census II,,,,
cargo,hdrhistogram,,,,Harvard Census II,,,,
cargo,libc,,,,Harvard Census II,,,,
cargo,openssl,,,,Harvard Census II,,,,
cargo,pcre,,,,Harvard Census II,,,,
cargo,proc-macro2,,,,Harvard Census II,,,,
cargo,quickcheck,,,,Harvard Census II,,,,
cargo,quote,,,,Harvard Census II,,,,
cargo,rand,,,,Harvard Census II,,,,
cargo,serde,,,,Harvard Census II,,,,
cargo,serde_derive,,,,Harvard Census II,,,,
cargo,serde_json,,,,Harvard Census II,,,,
cargo,serde_test,,,,Harvard Census II,,,,
cargo,sha2-asm,,,,Harvard Census II,,,,
cargo,syn,,,,Harvard Census II,,,,
cargo,tokio,,,,Harvard Census II,,,,
clojars,org.clojars.clizzin/jsoup,,,,Harvard Census II,,,,
cocoapods,AnimatedGIFImageSerialization,,,,Harvard Census II,,,,
cocoapods,CCLDefaults,,,,Harvard Census II,,,,
cocoapods,Commander,,,,Harvard Census II,,,,
cocoapods,FormatterKit,,,,Harvard Census II,,,,
cocoapods,FXKeychain,,,,Harvard Census II,,,,
cocoapods,ISO8601DateFormatter,,,,Harvard Census II,,,,
cocoapods,libpng,,,,Harvard Census II,,,,
cocoapods,MFPageFlowView,,,,Harvard Census II,,,,
cocoapods,minizip,,,,Harvard Census II,,,,
cocoapods,Mockingjay,,,,Harvard Census II,,,,
cocoapods,NSAttributedString+CCLFormat,,,,Harvard Census II,,,,
cocoapods,SimulatorStatusMagic,,,,Harvard Census II,,,,
cocoapods,SVProgressHUD,,,,Harvard Census II,,,,
cocoapods,TTTAttributedLabel,,,,Harvard Census II,,,,
cocoapods,URITemplate,,,,Harvard Census II,,,,
conda,html5lib,,,,Harvard Census II,,,,
conda,r-rlang,,,,Harvard Census II,,,,
cran,foreach,,,,Harvard Census II,,,,
